name,industry,current_price,sales,operating_profit,profit_after_tax,net_profit,opm,eps,return_on_capital_employed,roce3yr_avg,sales_growth_3years,sales_growth_5years,profit_growth_3years,profit_growth_5years,eps_growth_3years,eps_growth_5years,sales_growth_10years,profit_growth_10years,eps_growth_10years,debt,net_worth,current_ratio,interest_coverage_ratio,working_capital,cash_equivalents,total_assets,debt_to_profit,leverage,altman_z_score,market_capitalization,price_to_sales,price_to_cash_flow,price_to_free_cash_flow,peg_ratio,evebitda,market_cap_to_sales,enterprise_value_to_ebit,intrinsic_value,graham
Sawaca Business,Trading,1.0,7.0,-0.0,0.0,0.0,-4.59,0.0,4.88,4.79,35.0,35.0,28.0,18.0,28.0,18.0,7.0,12.0,12.0,1.0,13.0,1.25,33.0,0.0,0.0,15.0,1.48,1.1,7.2,49.0,7.52,-51.78,-165.82,5.9,67.24,7.52,75.39,0.0,0.0
Sayaji (Indore),Hotels,1275.0,96.0,19.0,7.0,7.0,20.28,24.0,15.86,-2.23,,,612.0,,,,,,,42.0,52.0,0.38,3.17,1.0,3.0,112.0,5.82,2.0,7.58,388.0,4.12,21.68,-312.95,,21.71,4.12,31.99,179.0,301.0
Sayaji Hot. Pune,Hotels,906.0,70.0,24.0,17.0,17.0,33.99,54.0,35.53,35.53,,,,,,,,,,2.0,65.0,1.11,137.06,3.0,2.0,76.0,0.12,1.07,8.87,276.0,3.84,34.82,,,10.92,3.84,12.32,751.0,511.0
Sayaji Hotels,Hotels,365.0,112.0,33.0,14.0,14.0,29.69,8.0,9.81,13.78,13.0,-14.0,32.0,27.0,32.0,27.0,-12.0,4.0,4.0,55.0,159.0,1.47,3.6,19.0,3.0,229.0,3.84,1.89,6.42,639.0,5.72,13.5,16.98,1.67,18.18,5.72,25.98,77.0,129.0
Sayaji Industr,Miscellaneous,169.0,975.0,5.0,-12.0,-12.0,0.55,-19.0,-1.5,7.21,20.0,9.0,,,,,,,,171.0,104.0,0.62,-0.26,-40.0,2.0,539.0,-14.69,4.65,2.28,107.0,0.11,2.65,24.9,,22.06,0.11,-70.03,,
SBC Exports,Textiles - Products,28.0,191.0,16.0,9.0,9.0,8.62,0.0,28.72,24.76,-0.0,19.0,72.0,48.0,72.0,38.0,35.0,85.0,19.0,25.0,44.0,1.25,3.17,29.0,4.0,184.0,2.64,3.38,9.65,895.0,4.67,334.39,-101.69,1.99,45.47,4.67,48.67,3.0,3.0
SBEC Sugar,Sugar,56.0,655.0,45.0,-3.0,-3.0,6.84,-3.0,15.16,8.88,4.0,9.0,23.0,14.0,23.0,14.0,5.0,7.0,7.0,232.0,-38.0,0.41,1.07,-229.0,2.0,714.0,-70.48,-18.55,1.17,269.0,0.41,-5.69,10.72,,10.94,0.41,20.58,,
SBEC Systems,Miscellaneous,25.0,3.0,2.0,1.0,1.0,75.47,,154.49,539.49,,,228.0,16.0,,,,,,17.0,-15.0,0.13,2.36,1.0,0.0,3.0,12.59,-0.13,12.73,25.0,8.05,,,1.18,17.55,8.05,17.55,,
SBFC Finance,Finance & Investments,83.0,1019.0,681.0,237.0,237.0,66.86,2.0,10.93,9.46,26.0,42.0,41.0,58.0,29.0,44.0,,,,3996.0,2778.0,1.79,1.9,220.0,466.0,7063.0,16.86,2.31,3.07,8900.0,8.77,-7.73,-8.24,0.66,18.27,8.77,18.64,63.0,36.0
SBI Cards,Finance & Investments,727.0,16986.0,5526.0,2408.0,2408.0,32.53,25.0,12.54,12.42,22.0,19.0,35.0,23.0,34.0,20.0,28.0,23.0,21.0,39891.0,12084.0,0.75,2.25,-1542.0,2730.0,58171.0,16.57,4.29,2.79,69137.0,4.08,-12.72,-12.4,1.27,17.68,4.08,18.28,427.0,269.0
SBI Life Insuran,Finance & Investments,1489.0,131988.0,400.0,1894.0,1894.0,0.3,19.0,14.88,15.22,17.0,24.0,9.0,9.0,9.0,9.0,23.0,10.0,10.0,0.0,14908.0,2.13,,6247.0,4746.0,398299.0,0.0,23.91,1.02,149115.0,1.14,5.17,5.69,9.2,70.17,1.14,70.17,218.0,252.0
SBL Infratech,Construction,36.0,0.0,0.0,0.0,0.0,32.35,1.0,2.83,-3.51,24.0,11.0,71.0,,233.0,,,,,0.0,4.0,8.25,,1.0,0.0,4.0,0.0,1.09,2.87,3.0,8.62,-12.03,-108.3,,25.91,8.62,28.5,66.0,35.0
SC Agrotech,Miscellaneous,22.0,1.0,-1.0,0.0,0.0,-104.41,0.0,10.28,-20.71,69.0,,82.0,37.0,82.0,37.0,52.0,18.0,18.0,0.0,3.0,5.36,,1.0,0.0,3.0,0.0,1.09,8.89,13.0,19.22,-22.94,-17.75,1.48,47.56,19.22,49.38,4.0,6.0
Scan Projects,Trading,74.0,8.0,1.0,1.0,0.0,12.27,0.0,19.96,10.48,38.0,14.0,208.0,47.0,208.0,47.0,6.0,8.0,8.0,0.0,5.0,5.73,49.0,5.0,1.0,6.0,2.0,1.22,9.33,21.0,2.65,56.37,55.4,0.52,20.39,2.65,21.22,5.0,9.0
Scan Steels,Steel - Medium / Small,66.0,965.0,48.0,21.0,21.0,4.92,4.0,,0.0,,,,,,,,,,119.0,403.0,1.56,3.75,206.0,32.0,608.0,5.65,1.46,4.03,346.0,0.36,4.24,,,8.18,0.36,11.55,50.0,83.0
Scanpoint Geoma,Computers - Software - Medium / Small,8.0,30.0,4.0,2.0,2.0,12.83,0.0,2.21,2.97,-12.0,-6.0,-7.0,-1.0,-7.0,-1.0,-1.0,8.0,8.0,64.0,86.0,1.65,1.9,44.0,10.0,192.0,39.62,2.05,2.28,137.0,4.74,22.81,-8.62,-141.7,43.92,4.74,60.66,1.0,2.0
Schaeffler India,Bearings,4640.0,7382.0,1347.0,921.0,917.0,18.25,59.0,26.72,26.74,24.0,10.0,46.0,15.0,46.0,15.0,18.0,22.0,15.0,51.0,4815.0,2.93,295.52,2704.0,1585.0,6269.0,0.06,1.25,21.99,72522.0,9.85,80.8,233.35,5.16,48.41,9.85,57.22,637.0,638.0
Schneider Elect.,Electric Equipment,912.0,2207.0,296.0,175.0,172.0,13.4,7.0,33.07,25.05,19.0,10.0,146.0,138.0,146.0,138.0,6.0,15.0,15.0,547.0,296.0,1.44,4.11,392.0,47.0,1582.0,3.18,4.96,24.69,21806.0,9.92,114.03,228.8,0.9,73.38,9.92,79.1,70.0,45.0
Scintilla Comm,Finance & Investments,6.0,1.0,-0.0,-0.0,-2.0,-22.03,-2.0,-1.1,0.14,6.0,0.0,,,,,6.0,,,1.0,10.0,,-2.6,0.0,0.0,11.0,-0.37,1.19,2.18,6.0,9.32,-12.18,-11.5,,-47.23,9.32,-47.23,,
Scoobee Garments,Textiles - Products,77.0,40.0,9.0,4.0,4.0,21.39,3.0,11.91,13.84,16.0,53.0,42.0,6.0,42.0,6.0,45.0,12.0,12.0,52.0,3.0,0.2,2.42,6.0,0.0,58.0,14.03,18.83,4.17,104.0,2.59,9.8,15.08,4.92,16.68,2.59,22.64,22.0,12.0
Scooters India,Automobiles - Scooters And 3 - Wheelers,79.0,0.0,-2.0,-31.0,-31.0,,-4.0,2.67,-4.66,,,11.0,,11.0,,,,,57.0,-22.0,0.77,0.24,35.0,54.0,74.0,-1.83,-3.63,15.01,688.0,,-70.48,310.34,,515.45,,515.45,,
SDC Techmedia,Entertainment / Electronic Media Software,9.0,10.0,-1.0,-4.0,-3.0,-8.2,-5.0,-12.99,-2.32,82.0,2.0,-8.0,,-8.0,,58.0,,,11.0,2.0,4.33,-1.76,7.0,0.0,24.0,-3.78,5.97,0.96,6.0,0.58,1.61,1.41,,130.54,0.58,-6.84,,
Sea TV Network,Entertainment / Electronic Media Software,9.0,12.0,-4.0,-4.0,30.0,-35.59,25.0,,-977.78,-4.0,-3.0,16.0,10.0,16.0,10.0,-4.0,4.0,4.0,26.0,-40.0,0.13,-5.21,-23.0,0.0,16.0,0.84,-0.42,-4.23,10.0,0.82,0.23,0.72,,-13.95,0.82,-10.88,,
Seacoast Ship.,Shipping,5.0,374.0,35.0,20.0,20.0,9.39,0.0,28.33,25.47,15.0,325.0,22.0,359.0,22.0,,167.0,114.0,,30.0,127.0,1.78,17.56,157.0,0.0,325.0,1.49,1.88,3.96,267.0,0.71,-5.97,-16.49,0.04,8.47,0.71,8.47,17.0,4.0
Sealmatic India,Engineering,630.0,71.0,14.0,10.0,10.0,19.3,11.0,16.62,28.17,26.0,,15.0,,-68.0,,,,,3.0,88.0,4.04,42.03,62.0,17.0,110.0,0.34,1.24,11.1,570.0,8.03,-74.75,-33.16,,34.94,8.03,40.16,357.0,154.0
SEAMEC Ltd,Shipping,1272.0,729.0,242.0,120.0,121.0,33.21,47.0,12.56,8.68,42.0,18.0,48.0,8.0,48.0,8.0,6.0,51.0,55.0,327.0,911.0,1.61,8.39,298.0,136.0,1407.0,2.71,1.36,5.64,3233.0,4.39,21.35,-22.6,3.37,12.53,4.39,24.91,959.0,616.0
Seasons Textiles,Textiles - Products,17.0,26.0,4.0,-0.0,-0.0,14.95,-0.0,3.86,3.49,16.0,-7.0,20.0,,20.0,,-3.0,,,24.0,35.0,1.86,0.87,24.0,1.0,64.0,-115.76,1.82,2.07,13.0,0.49,15.24,12.94,,8.99,0.49,15.86,,
Secmark Consult.,Computers - Software - Medium / Small,98.0,25.0,1.0,-2.0,-2.0,5.0,-2.0,-7.74,-5.72,48.0,45.0,,,,,38.0,,,11.0,16.0,0.89,-2.07,9.0,11.0,31.0,-4.69,1.94,6.8,101.0,4.12,24.49,-17.71,,52.59,4.12,-47.21,,
SecUR Credential,Miscellaneous,12.0,38.0,7.0,5.0,5.0,18.54,1.0,21.17,13.31,-5.0,4.0,179.0,9.0,179.0,9.0,,,,23.0,49.0,3.18,1.98,53.0,3.0,93.0,2.93,2.11,2.86,48.0,1.23,5.35,10.75,1.14,7.53,1.23,12.29,13.0,18.0
SecureKloud Tech,Computers - Software - Medium / Small,37.0,340.0,-8.0,-16.0,-96.0,-2.49,-11.0,-17.15,-36.71,-1.0,-17.0,,,,,23.0,,,121.0,-6.0,0.26,-1.57,-44.0,4.0,196.0,-1.26,-40.13,2.02,125.0,0.36,26.97,-3.13,,-34.8,0.36,-9.86,,
Sejal Glass,Glass & Glass Products,370.0,164.0,20.0,3.0,3.0,12.45,3.0,13.41,9.14,154.0,81.0,34.0,18.0,48.0,25.0,3.0,8.0,10.0,162.0,29.0,1.56,1.27,57.0,3.0,230.0,48.51,4.83,3.94,374.0,2.22,-39.56,-38.75,6.07,24.36,2.22,32.94,104.0,46.0
SEL Mfg. Co,Textiles - Cotton/Blended,61.0,374.0,-55.0,-204.0,-193.0,-14.73,-58.0,-14.75,-12.34,25.0,-9.0,6.0,-17.0,6.0,,-20.0,,,940.0,-56.0,0.1,-2.43,-142.0,3.0,1055.0,-4.87,-20.21,-0.03,202.0,0.54,5.43,4.47,,-22.93,0.54,-7.86,,
Selan Expl. Tech,Oil Drilling / Allied Services,727.0,166.0,39.0,33.0,33.0,23.34,22.0,12.28,9.29,50.0,12.0,114.0,-6.0,114.0,-5.0,5.0,-3.0,-2.0,4.0,394.0,5.8,119.85,144.0,50.0,485.0,0.11,1.16,5.79,1106.0,6.65,15.36,51.65,-5.23,21.1,6.65,22.55,582.0,354.0
Sellwin Traders,Miscellaneous,24.0,40.0,1.0,1.0,1.0,2.83,1.0,5.22,8.13,828.0,,83.0,60.0,83.0,60.0,100.0,56.0,56.0,0.0,27.0,13.97,,23.0,3.0,29.0,0.0,0.97,4.84,20.0,0.49,-3.51,-3.1,0.38,15.14,0.49,15.41,17.0,28.0
Semac Consul,Engineering - Turnkey Services,620.0,127.0,-35.0,-32.0,-32.0,-27.23,-104.0,-27.36,-0.46,-1.0,-10.0,,,,,-3.0,,,19.0,79.0,1.47,-16.98,67.0,42.0,197.0,-0.6,2.59,2.64,190.0,1.49,-10.31,-213.56,,-5.74,1.49,-5.42,,
Senco Gold,Diamond Cutting / Jewellery,1138.0,5230.0,381.0,189.0,189.0,7.29,24.0,13.35,15.29,25.0,16.0,45.0,20.0,28.0,12.0,,,,1756.0,1377.0,1.56,3.39,2701.0,547.0,3715.0,9.3,2.4,6.91,8840.0,1.68,-30.33,-50.37,2.28,23.58,1.68,27.39,436.0,311.0
Senthil Infotek,Computers - Software - Medium / Small,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,7.0,,,,,1.0,,,0.0,5.0,17.0,,0.0,0.0,5.0,,1.0,4.59,10.0,84.09,22.26,-47.53,,913.0,84.09,913.0,,
SEPC,Engineering - Turnkey Services,19.0,561.0,26.0,23.0,23.0,4.68,0.0,4.25,-0.04,-1.0,-14.0,29.0,-8.0,28.0,-14.0,1.0,7.0,7.0,455.0,1210.0,2.43,1.51,1020.0,61.0,2209.0,19.97,1.74,3.79,2944.0,5.2,-24.12,-51.7,-15.49,45.64,5.2,49.26,3.0,5.0
Sequent Scien.,Pharmaceuticals - Indian - Bulk Drugs & Formln,119.0,1370.0,61.0,-17.0,-30.0,4.48,-1.0,0.9,1.27,0.0,6.0,,,,,13.0,5.0,6.0,488.0,657.0,1.31,0.23,512.0,70.0,1540.0,-16.47,2.33,4.99,2963.0,2.16,96.86,-225.52,,46.73,2.16,312.25,,
Sera Investments,Finance & Investments,18.0,23.0,21.0,18.0,18.0,89.85,3.0,36.56,5.72,324.0,113.0,279.0,189.0,181.0,109.0,43.0,32.0,17.0,30.0,26.0,11.59,21.35,2.0,1.0,56.0,1.66,2.15,5.78,118.0,5.28,-20.75,-18.86,0.04,7.28,5.28,7.38,11.0,18.0
Service Care Ltd,Miscellaneous,55.0,193.0,4.0,4.0,4.0,2.05,4.0,27.76,30.5,29.0,,167.0,,-75.0,,,,,0.0,31.0,1.5,110.5,11.0,5.0,55.0,0.0,2.63,6.64,63.0,0.33,11.1,31.94,,12.27,0.33,13.08,105.0,50.0
Servoteach Inds.,Engineering - Turnkey Services,26.0,0.0,-0.0,-0.0,-0.0,,-1.0,,43.94,,,,-13.0,,-13.0,,,,0.0,-0.0,3.5,,0.0,0.0,0.0,0.0,-0.39,94.99,10.0,,-39.27,-170.17,,-42.83,,-42.83,,
Servotech Power,Electric Equipment,88.0,306.0,20.0,11.0,11.0,6.61,1.0,11.3,13.54,52.0,28.0,118.0,31.0,106.0,27.0,25.0,47.0,16.0,81.0,129.0,1.79,5.82,154.0,60.0,258.0,7.13,1.6,14.97,1967.0,6.4,-1957.06,-110.94,5.59,91.02,6.4,105.49,12.0,8.0
Seshasayee Paper,Paper,336.0,1802.0,340.0,259.0,259.0,18.87,41.0,20.24,23.24,32.0,6.0,37.0,6.0,37.0,6.0,6.0,25.0,25.0,21.0,1838.0,3.34,162.4,755.0,607.0,2317.0,0.08,1.18,4.24,2118.0,1.18,10.52,10.07,1.28,3.94,1.18,4.43,500.0,519.0
Setco Automotive,Auto Ancillaries,13.0,616.0,71.0,-145.0,-179.0,11.5,-11.0,1.31,-5.16,5.0,-1.0,,,,,3.0,,,935.0,-508.0,0.92,0.22,75.0,11.0,559.0,-4.86,-1.41,0.71,173.0,0.28,3.64,-4.26,,14.62,0.28,29.19,,
Setubandhan Inf.,Construction,1.0,4.0,-0.0,-1.0,-1.0,-1.59,-0.0,0.39,-7.86,-60.0,-50.0,26.0,-66.0,26.0,-66.0,-26.0,-38.0,-38.0,160.0,-60.0,0.44,-90.0,41.0,0.0,168.0,5340.0,3.52,-0.09,11.0,2.54,-23.8,-8.83,,5707.33,2.54,-190.24,,
Seven Hill Inds.,Finance & Investments,1.0,0.0,-0.0,3.0,3.0,,0.0,23.74,8.45,,,61.0,24.0,61.0,24.0,,45.0,45.0,6.0,9.0,0.01,,-10.0,0.0,25.0,1.96,2.64,1.42,15.0,,5.35,5.86,0.2,6.67,,6.67,1.0,2.0
Seya Industries,Chemicals,26.0,8.0,4.0,-3.0,-3.0,46.28,-1.0,-0.32,-0.67,-43.0,-54.0,18.0,,18.0,,-24.0,,,771.0,828.0,0.32,,15.0,1.0,1612.0,-222.18,1.95,0.79,70.0,8.67,-6.67,60.48,,65.58,8.67,-162.36,,
SG Finserve,Finance & Investments,388.0,190.0,169.0,79.0,79.0,89.16,14.0,12.18,11.0,332.0,266.0,268.0,198.0,65.0,87.0,64.0,93.0,52.0,957.0,806.0,1.84,2.64,1763.0,77.0,1779.0,12.18,1.77,4.16,2133.0,11.24,-3.78,-4.25,0.14,17.81,11.24,17.83,476.0,217.0
SG Mart,Trading,455.0,2683.0,62.0,61.0,61.0,2.31,5.0,14.52,6.24,652.0,389.0,488.0,233.0,232.0,136.0,226.0,139.0,101.0,182.0,1087.0,3.47,8.0,1167.0,1125.0,1487.0,2.99,0.69,9.43,5074.0,1.89,158.59,-710.64,0.36,44.15,1.89,44.39,231.0,110.0
SGN Telecoms,Cables - Power,1.0,0.0,-1.0,-1.0,-1.0,,-0.0,-74.39,-33.5,,,,-26.0,,-26.0,,,,0.0,1.0,19.64,-61.0,2.0,0.0,3.0,0.0,6.62,3.56,6.0,,-53.19,-45.59,,-10.39,,-10.39,,
Sh. Ajit Pulp,Paper,234.0,295.0,21.0,8.0,8.0,7.06,9.0,4.5,10.65,3.0,2.0,-30.0,-19.0,-30.0,-19.0,4.0,-3.0,-3.0,226.0,227.0,1.25,2.53,90.0,2.0,516.0,27.43,2.08,2.09,185.0,0.63,10.7,-2.77,-1.17,14.73,0.63,21.92,181.0,231.0
Sh. Bajrang All.,Steel - Medium / Small,283.0,570.0,5.0,41.0,41.0,0.79,45.0,1.73,2.84,39.0,29.0,10.0,16.0,10.0,16.0,18.0,42.0,42.0,59.0,300.0,1.03,6.13,62.0,2.0,415.0,1.45,1.32,3.61,255.0,0.45,995.19,75.66,0.4,35.7,0.45,54.42,504.0,583.0
Sh. Digvijay Cem,Cement - North India,111.0,792.0,146.0,88.0,88.0,18.39,6.0,34.09,28.52,16.0,13.0,17.0,115.0,16.0,113.0,9.0,20.0,19.0,0.0,381.0,1.99,56.75,136.0,14.0,535.0,0.0,1.31,8.42,1633.0,2.07,17.1,39.48,0.16,10.46,2.07,13.47,87.0,59.0
Sh. Dinesh Mills,Textiles - Products,520.0,101.0,7.0,10.0,47.0,6.85,90.0,6.98,8.13,12.0,3.0,4.0,76.0,4.0,73.0,-0.0,7.0,6.0,24.0,202.0,5.45,7.52,172.0,5.0,271.0,0.52,1.22,4.09,291.0,2.9,-78.66,12.42,0.4,15.75,2.9,21.54,661.0,855.0
Sh. Ganesh Elas.,Finance & Investments,23.0,24.0,2.0,2.0,2.0,8.78,3.0,38.62,25.17,24.0,22.0,47.0,,47.0,,16.0,55.0,55.0,1.0,6.0,4.33,25.13,6.0,4.0,8.0,0.5,1.1,8.31,13.0,0.55,4.24,9.36,,4.51,0.55,4.76,85.0,26.0
Sh. Hari Chem.,Dyes And Pigments,76.0,138.0,4.0,2.0,2.0,2.75,5.0,12.4,-9.43,35.0,22.0,40.0,21.0,40.0,21.0,8.0,-16.0,-16.0,27.0,20.0,0.78,2.2,13.0,4.0,72.0,11.72,3.97,3.57,34.0,0.24,3.36,72.32,0.69,6.97,0.24,9.67,110.0,73.0
Sh. Jagdamba Pol,Packaging,729.0,362.0,56.0,32.0,32.0,15.38,37.0,21.12,25.54,15.0,14.0,-8.0,8.0,-8.0,8.0,15.0,26.0,26.0,24.0,245.0,3.98,6.15,164.0,23.0,305.0,0.74,1.13,6.84,638.0,1.74,-54.09,47.39,2.44,10.4,1.74,11.93,786.0,482.0
Sh. Karthik Pap.,Paper,11.0,65.0,2.0,0.0,0.0,3.21,0.0,4.93,4.69,51.0,1.0,31.0,15.0,31.0,15.0,8.0,-2.0,-2.0,23.0,2.0,0.47,1.48,5.0,0.0,37.0,67.56,16.0,3.02,21.0,0.31,9.14,9.58,3.86,19.15,0.31,32.25,1.0,2.0
Sh. Krish. Infr.,Construction,85.0,1.0,0.0,0.0,0.0,10.34,0.0,0.35,0.38,1.0,-2.0,44.0,-6.0,-5.0,-27.0,22.0,12.0,-7.0,0.0,11.0,39.5,,1.0,0.0,12.0,0.0,1.0,14.52,93.0,107.26,-172.82,-39.05,-556.47,1031.78,107.26,2321.5,3.0,3.0
Sh. Krishna Pap.,Paper,40.0,144.0,7.0,0.0,0.0,4.96,0.0,6.9,10.17,28.0,0.0,28.0,-39.0,28.0,-39.0,-1.0,-18.0,-18.0,26.0,33.0,1.07,1.19,18.0,3.0,86.0,68.03,2.74,3.63,54.0,0.38,6.44,16.6,-3.61,9.4,0.38,18.8,7.0,12.0
Sh. Rajas. Synt.,Textiles - Spinning - Synthetic / Blended,10.0,25.0,-9.0,-0.0,112.0,-33.97,40.0,26.44,1.28,-12.0,-32.0,26.0,15.0,26.0,15.0,-22.0,,,15.0,13.0,0.17,0.93,-16.0,1.0,49.0,0.14,5.64,1.05,13.0,0.53,0.5,1.26,,8.05,0.53,17.92,39.0,65.0
Sh. Rama Multi.,Packaging,28.0,178.0,15.0,10.0,10.0,8.52,1.0,9.24,4.32,9.0,9.0,41.0,40.0,41.0,,5.0,11.0,,12.0,103.0,2.89,13.16,54.0,3.0,138.0,1.21,1.32,7.26,374.0,2.05,17.46,-491.79,0.92,22.56,2.05,34.58,10.0,11.0
Sh. Steel Wire,Steel - Medium / Small,38.0,10.0,0.0,-0.0,-0.0,0.4,-0.0,-1.11,3.04,-11.0,-8.0,,,,,1.0,,,0.0,13.0,7.28,-3.75,7.0,4.0,15.0,0.0,1.15,3.85,13.0,1.32,23.34,20.74,,52.56,1.32,-63.07,,
Sh.Pushkar Chem.,Dyes And Pigments,209.0,726.0,61.0,37.0,37.0,8.36,12.0,9.15,12.29,27.0,10.0,10.0,-2.0,9.0,-2.0,,,,108.0,474.0,1.8,31.92,264.0,1.0,710.0,2.91,1.44,4.12,661.0,0.91,40.73,-87.57,-9.17,10.72,0.91,15.38,154.0,199.0
Sh.Renuka Sugar,Sugar,50.0,11319.0,674.0,-627.0,-627.0,5.95,-3.0,10.09,8.58,26.0,20.0,,9.0,,10.0,-0.0,2.0,6.0,5794.0,-1438.0,0.68,0.5,-25.0,54.0,10171.0,-9.24,-6.18,2.72,10538.0,0.93,11.54,36.42,,22.53,0.93,35.68,,
Shah Alloys,Steel - Medium / Small,63.0,613.0,3.0,-9.0,-19.0,0.55,-9.0,-5.63,24.21,7.0,1.0,20.0,,20.0,,,,,80.0,11.0,0.38,-1.37,-71.0,0.0,257.0,-4.3,24.79,2.81,124.0,0.2,-18.98,3.37,,60.1,0.2,-36.97,,
Shah Foods,Food - Processing - Indian,245.0,0.0,-0.0,-0.0,-0.0,,-4.0,,-37.72,,,16.0,,16.0,,,,,0.0,-1.0,4.33,,0.0,0.0,1.0,0.0,-0.84,42.92,15.0,,-66.79,-183.68,,-66.73,,-66.73,,
Shah Metacorp,Steel - Medium / Small,4.0,97.0,4.0,4.0,4.0,3.71,0.0,4.94,-5.97,97.0,-8.0,27.0,18.0,27.0,17.0,-10.0,23.0,20.0,37.0,57.0,2.09,442.0,48.0,0.0,138.0,8.58,2.25,3.76,169.0,1.74,-5.2,-8.25,2.19,25.78,1.74,46.3,4.0,2.0
Shahi Shipping,Shipping,17.0,12.0,2.0,3.0,3.0,14.88,2.0,23.03,8.27,10.0,4.0,63.0,17.0,63.0,17.0,-4.0,63.0,63.0,5.0,6.0,0.48,10.42,-2.0,0.0,19.0,2.08,3.24,3.58,25.0,2.0,6.25,14.1,0.57,9.41,2.0,11.01,12.0,13.0
Shahlon Silk,Textiles - Products,21.0,311.0,28.0,4.0,4.0,8.96,0.0,8.84,7.58,13.0,-10.0,35.0,0.0,35.0,,,,,133.0,103.0,1.44,1.39,150.0,1.0,319.0,33.4,2.95,3.13,186.0,0.6,17.92,13.91,235.19,11.2,0.6,15.47,6.0,11.0
Shaily Engineer.,Plastics Products,807.0,644.0,117.0,57.0,57.0,18.16,12.0,13.97,12.67,,,,,,,,,,209.0,459.0,1.17,4.9,177.0,26.0,782.0,3.65,1.61,9.84,3702.0,5.74,40.1,-123.24,,31.43,5.74,44.21,134.0,168.0
Shakti Press,Printing & Stationery,31.0,12.0,2.0,0.0,0.0,19.6,1.0,4.52,4.37,9.0,5.0,2.0,-43.0,2.0,-43.0,-0.0,8.0,8.0,12.0,19.0,2.23,1.5,21.0,0.0,35.0,24.6,1.84,2.42,11.0,0.94,10.76,-22.48,-0.53,9.87,0.94,15.7,36.0,40.0
Shakti Pumps,Pumps,3848.0,1371.0,225.0,142.0,142.0,16.4,71.0,31.44,21.04,14.0,20.0,23.0,26.0,20.0,24.0,17.0,19.0,16.0,83.0,756.0,1.82,10.75,643.0,201.0,1450.0,0.59,1.44,11.19,7710.0,5.62,141.54,1585.88,2.11,33.24,5.62,36.26,1570.0,775.0
Shalby,Healthcare,272.0,934.0,177.0,84.0,84.0,18.96,8.0,11.75,10.6,29.0,15.0,25.0,21.0,25.0,21.0,14.0,8.0,-3.0,378.0,1000.0,1.71,9.0,380.0,27.0,1608.0,4.53,1.44,4.94,2932.0,3.13,148.91,-1794.28,1.63,16.64,3.13,22.67,138.0,127.0
Shalibhadra Fin.,Finance & Investments,623.0,33.0,23.0,12.0,12.0,69.16,17.0,15.83,15.2,16.0,8.0,51.0,13.0,35.0,6.0,12.0,15.0,11.0,58.0,97.0,5.53,3.48,14.0,17.0,158.0,4.84,1.52,6.17,436.0,13.65,176.1,-2236.5,2.8,21.54,13.65,21.6,227.0,231.0
Shalimar Agencie,Finance & Investments,43.0,0.0,-0.0,-0.0,-0.0,,-0.0,-1.76,-2.62,,,13.0,7.0,13.0,7.0,,,,0.0,3.0,3.16,,3.0,4.0,4.0,0.0,1.46,6.73,13.0,,,3836.7,,-175.2,,-175.2,,
Shalimar Paints,Paints / Varnishes,142.0,535.0,-54.0,-74.0,-74.0,-10.13,-9.0,-12.28,-7.82,18.0,13.0,-19.0,-2.0,1.0,5.0,1.0,,,106.0,393.0,1.41,-4.7,185.0,56.0,670.0,-1.43,1.64,4.45,1185.0,2.19,66.23,-21.72,,-26.51,2.19,-20.05,,
Shalimar Prod.,Entertainment / Electronic Media Software,1.0,2.0,0.0,0.0,0.0,9.09,0.0,0.1,0.09,-22.0,-24.0,5.0,48.0,5.0,48.0,6.0,-8.0,-8.0,1.0,102.0,31.01,,33.0,0.0,103.0,12.14,1.02,2.87,70.0,33.44,120.49,92.36,20.98,371.16,33.44,705.2,0.0,0.0
Shalimar Wires,Textiles - Products,22.0,128.0,20.0,-1.0,1.0,15.72,0.0,9.74,8.27,13.0,2.0,25.0,14.0,25.0,14.0,4.0,6.0,6.0,90.0,35.0,1.26,0.96,30.0,4.0,175.0,60.97,4.97,2.3,94.0,0.74,3.8,5.72,,7.22,0.74,14.95,5.0,8.0
Shamrock Indl.,Trading,12.0,0.0,-0.0,-0.0,-0.0,-36.36,-0.0,-2.29,-6.61,,,23.0,15.0,23.0,15.0,,,,0.0,2.0,54.67,,2.0,1.0,2.0,0.0,1.03,8.41,7.0,59.45,-162.54,-46.44,,-140.25,59.45,-140.25,,
Shangar Decor,Miscellaneous,8.0,13.0,2.0,1.0,1.0,18.78,1.0,6.94,3.57,56.0,16.0,44.0,32.0,44.0,32.0,13.0,25.0,25.0,8.0,7.0,1.31,22.4,3.0,2.0,27.0,11.29,3.38,1.74,10.0,0.77,1.97,-11.5,0.42,6.78,0.77,14.83,14.0,9.0
Shankar Lal Ram.,Trading,105.0,288.0,9.0,6.0,6.0,3.27,1.0,9.01,25.79,17.0,10.0,-5.0,34.0,-5.0,27.0,,,,6.0,99.0,14.84,14.75,104.0,4.0,106.0,0.96,1.09,15.69,672.0,2.33,114.48,746.67,3.05,69.66,2.33,70.31,20.0,19.0
